orderID,orderTime,userID,couponID,price,basePrice,reward,premiumProduct,productGroup,categoryIDs,couponUsed
3829,2015-02-17 15:49:32,37aa37a3d4db63cfedbf976daddebf5c,a35974920ba3c9b3a6e50a89910e6b81,9.17,2.04,0.94,1,c06dc2b4a5f7ecdfa27a83acf7a29423,"b7e3b0110f96213f5087034b92be487a,667daa357f8999be0805a6d62d7d3970",1
4805,2015-02-25 20:28:10,a8336131974a67f838d998609c0e2604,3867cafee56ece2ea5f8db4815cadcb6,11.58,4.82,1.26,0,369e08938fbb263ee8d7700a909231c3,f03040c27bfa597712980825477b32d5,0
1658,2015-02-28 23:30:58,f929ef735361e29928150e526255e4a4,cb82eed23c715dc002ce4d8070aedaf7,6.30856611416101,4.385442733044122,1.9429767132666589,0,766fb91efebff83f298f780e7524b276,b7e3b0110f96213f5087034b92be487a,0
2029,2015-01-28 15:28:08,0ceee2ae489c5c68a483c0c3cd6d9b54,148c8d0134dc05ce921c489983558b93,3.33,3.33,1.57,0,3e1c802d7407a4d2ff7eec1482f53fb5,e73355e7a58b57d741111e7ab3855265,0
4703,2015-02-25 11:22:34,2cb1dc0de7a4be59f58d87fdefa91a59,3c788027ffc11385ebda482981af8637,1.943101438141596,1.1570816776847292,1.9355540010041876,1,113593efe095675415192b4aa1ab8653,796c5815752a170021838a78bf7fab34,0
4996,2015-02-27 00:15:19,0a10a89e905247545e69afa79f21dc27,c1bc0452225f0760e3115a8d30d7ab0e,7.41,1.85,1.26,0,c06dc2b4a5f7ecdfa27a83acf7a29423,"b7e3b0110f96213f5087034b92be487a,a0ae3bad823bea2ffa642bf47daa4a77",1
2702,2015-02-04 08:47:44,8da064b217371bec77cd8662e3e94699,bb623910da0cd111d78b795070b3a081,10.98,3.43,1.57,0,645dd2d872e6d5f4db5598ddecc789d2,b7e3b0110f96213f5087034b92be487a,0
2735,2015-01-11 13:09:46,cae358d7b2d59aafe8e41e70b363a198,3df5048d2a1986c3bfb7b922e3c4d70a,2.405299435340257,1.1442684157782608,1.5970736437702535,0,920c97ba22e2235de589e5cc9b391709,796c5815752a170021838a78bf7fab34,0
4625,2015-02-24 18:40:42,ce835f518bf3abe760ac2883191d3373,150245ceb8b67ba3c0f23b208f853693,5.51,2.2,1.26,0,2ef931ec37855444a94b2e752e32d96e,b7e3b0110f96213f5087034b92be487a,0
218,2015-01-17 22:02:44,f929ef735361e29928150e526255e4a4,173cac356b89eee4fcfa9eeb2a8a8f2c,2.606949996140916,1.539523135828765,1.5631968103871516,0,5e24ab46af72b5605beaafbf6e36d551,796c5815752a170021838a78bf7fab34,0
